ELEM_POINT_ID,CODE,NOM,GENRE,GENRE_DESC,CATEGORIE,CATEGORIE_DESC,SOUS_CATEGORIE,SOUS_CATEGORIE_DESC,CODE_PARENT,CODE_PARENT_DESC,ADR_SECTEUR,BIEN_REFERENCE,GENRE_BOTA,ESPECE,VARIETE,STADEDEDEVELOPPEMENT,EQUIPE,REMARQUES,ANNEEDEPLANTATION,RAISONDEPLANTATION,TRAITEMENTCHENILLES,COURRIER,IDENTIFIANTPLU,TYPEIMPLANTATIONPLU,INTITULEPROTECTIONPLU,ANNEEABATTAGE,ESSOUCHEMENT,DIAMETREARBRE,CAUSEABATTAGE,COLLECTIVITE,GeoJSON
37993,ESP37969,ESP37969,VEG,VEGETATION,ESP01,Arbre,ESP065,Arbre d'enceintes fermées,ESP37898,Maison des Collines Jard Poisat,6,AR37969,,,,,,,,,,,,,,,,,,,"{""type"":""Point"",""coordinates"":[5.76034690089422,45.1543159441061]}"
37992,ESP37968,ESP37968,VEG,VEGETATION,ESP01,Arbre,ESP065,Arbre d'enceintes fermées,ESP37898,Maison des Collines Jard Poisat,6,AR37968,,,,,,,,,,,,,,,,,,,"{""type"":""Point"",""coordinates"":[5.75982646464411,45.154046459904]}"
37991,ESP37967,ESP37967,VEG,VEGETATION,ESP01,Arbre,ESP065,Arbre d'enceintes fermées,ESP37898,Maison des Collines Jard Poisat,6,AR37967,,,,,,,,,,,,,,,,,,,"{""type"":""Point"",""coordinates"":[5.75998073144869,45.1540202490699]}"
37990,ESP37966,ESP37966,VEG,VEGETATION,ESP01,Arbre,ESP065,Arbre d'enceintes fermées,ESP37898,Maison des Collines Jard Poisat,6,AR37966,,,,,,,,,,,,,,,,,,,"{""type"":""Point"",""coordinates"":[5.76005703012677,45.1538601663191]}"
37989,ESP37965,ESP37965,VEG,VEGETATION,ESP01,Arbre,ESP065,Arbre d'enceintes fermées,ESP37898,Maison des Collines Jard Poisat,6,AR37965,,,,,,,,,,,,,,,,,,,"{""type"":""Point"",""coordinates"":[5.76002027929244,45.1539221005346]}"
37988,ESP37964,ESP37964,VEG,VEGETATION,ESP01,Arbre,ESP065,Arbre d'enceintes fermées,ESP37898,Maison des Collines Jard Poisat,6,AR37964,,,,,,,,,,,,,,,,,,,"{""type"":""Point"",""coordinates"":[5.75964922725342,45.1539021290266]}"
37987,ESP37963,ESP37963,VEG,VEGETATION,ESP01,Arbre,ESP065,Arbre d'enceintes fermées,ESP37898,Maison des Collines Jard Poisat,6,AR37963,,,,,,,,,,,,,,,,,,,"{""type"":""Point"",""coordinates"":[5.75933241321141,45.1538061453373]}"
37986,ESP37962,ESP37962,VEG,VEGETATION,ESP01,Arbre,ESP065,Arbre d'enceintes fermées,ESP37898,Maison des Collines Jard Poisat,6,AR37962,,,,,,,,,,,,,,,,,,,"{""type"":""Point"",""coordinates"":[5.75941985297356,45.153853839904]}"
37985,ESP37961,ESP37961,VEG,VEGETATION,ESP01,Arbre,ESP065,Arbre d'enceintes fermées,ESP37898,Maison des Collines Jard Poisat,6,AR37961,,,,,,,,,,,,,,,,,,,"{""type"":""Point"",""coordinates"":[5.75950370414507,45.1536855428431]}"
37983,ESP37959,ESP37959,VEG,VEGETATION,ESP01,Arbre,ESP065,Arbre d'enceintes fermées,ESP37898,Maison des Collines Jard Poisat,6,AR37959,,,,,,,,,,,,,,,,,,,"{""type"":""Point"",""coordinates"":[5.75955022968702,45.1538265990103]}"
